Company Name,Title,Description,Location,Started On,Finished On
NielsenIQ,Data Processing Specialist,"•	Review the Different Requirement of Nielsen Integration Service Platform (NISP) •	Planning Testing for different items. •	Prepare the Testcases and review with stake holder •	Testing the items in User Acceptance Testing (UAT) environment and identify the defect if any. •	Prepare the result of Testing. •	Review Result with Stake holder and prepare the system document •	Share Knowledge with Production Team •	Support NISP GTC team and Support team on different tickets.","Vadodara, Gujarat, India",Oct-21,
AIESEC,Alumni,,,Feb-20,
Orena Solutions,Digital Marketing Intern,,"Vadodara, Gujarat, India",Nov-20,Apr-21
Collabera Inc.,Technical Recruiter,"About Collabera: Collabera is ranked among the top 10 Information Technology (IT) and professional staffing firms in the U.S., with more than $600 million in sales revenue and a global presence that represents approximately 15,000+ professionals across North America, Asia Pacific and Europe. We support our clients with a strong recruitment model and a sincere commitment to their success, which is why more than 90% of our enterprise clients rank us among their top three staffing suppliers by performance.  We have been recognized by Staffing Industry Analysts (SIA) as the “Best Staffing Firm to Work For” – seven consecutive years since 2012. Collabera provides services such as staff augmentation, managed services and professional search services to Fortune 500 corporations across the globe.  Visit www.collabera.com to learn more about our latest job openings.  Awards and Recognitions  --Staffing Industry Analysts: Best Staffing Firm to Work For (2018, 2017, 2016, 2015, 2014, 2013, 2012) --Staffing Industry Analysts: Largest U.S. Staffing Firms (2016, 2015, 2014, 2013) --Staffing Industry Analysts: Largest Minority-Owned IT Staffing Firm in the U.S",New,Feb-20,May-20
ECB AIESEC in India,Team member Audits ,,Baroda,Mar-19,Feb-20
AIESEC,Director Outgoing Global Volunteer ,,"Vadodara, Gujarat, India",Mar-19,Feb-20
AIESEC,Director Of Business Development,,"Vadodara, Gujarat, India",Aug-18,Mar-19
AIESEC,Director Customer Experience,,"Vadodara, Gujarat, India",Jan-18,Aug-18
