Skills
Teamwork
Auditing
Analytical Skills
User Acceptance Testing
Quality
Microsoft PowerPoint
Microsoft Word
Microsoft Excel
Management
Leadership
Team Management
Public Speaking
Customer Service
English
Team Leadership
Communication
Microsoft Office
Project Management
Engineering
Critical Thinking
Data Visualization
Data Analysis
Data Analytics
