Login Date,IP Address,User Agent,Login Type
Sat Jun 26 09:31:27 UTC 2021,202.8.125.181,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.586 OnePlus_ONEPLUS A6010:android_10,Login
Sat Jun 26 09:32:42 UTC 2021,202.8.125.181,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Mobile Safari/537.36",Login
Fri Dec 24 09:42:15 UTC 2021,202.8.125.181,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Login
Mon Jan 17 04:02:14 UTC 2022,2405:201:200e:fc5b:ec20:be4:617e:843b,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.22.3341 iPhone:15.1.1,Login
Fri Mar 25 12:43:01 UTC 2022,14.140.153.196,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",Login
Thu Jun 30 15:32:00 UTC 2022,2405:201:2028:e853:2c12:dd40:60aa:900f,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",Login
Tue Mar 21 08:49:09 UTC 2023,138.108.154.10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Login
