Date,Link,Message
7/7/2022 4:50,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6950668137931362304,Congratulations Dhruv Shah
7/1/2022 8:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6947056888572178432,Congratulations Devashish Sharma
6/17/2022 7:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6943370772195282945,Congratulations 🎉 🥳
6/7/2022 14:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6939918784115679232,Congratulations Krusharth Shah
6/6/2022 15:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6939600639924531200,Congrats Shehwar
6/3/2022 12:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6938456632162955265,Congratulations
5/22/2022 16:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934178196619755520,Best of luck for the new role!!
4/4/2022 11:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6916691198178930688,Congrats for the new role! Lohith Gowda
4/4/2022 10:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6916672420896530432,Congratulations for the new role! Bhumika Patil
4/2/2022 3:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913508483644420096,Congratulations!!!
3/26/2022 14:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912367009993248768,Good luck with your new role!
3/23/2022 7:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912300780532244480,Good luck with your new role!
2/9/2022 2:45,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6896971724143824896,Best of luck
1/19/2022 13:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6889526427943862272,Congratulations Akanksha Bhasin 🔥
7/16/2021 13:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6819509343365472256,Congratulations !
2/12/2021 14:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6765508974411337728,Congrats Kavya
2/7/2021 3:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763433367103905792,Congrats Miral
2/3/2021 14:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762354935444119552,Congrats Mayank Bhai
1/27/2021 12:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760049345304915968,Congrats PRADIP
1/11/2021 11:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6754316547877064704,Congrats Akanksha
1/8/2021 6:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6752227518843019264,Congrats Shachi
1/5/2021 12:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740685057452765184,Conngrats Shivam
1/5/2021 11:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6752172086535479296,Congrats Shachi
12/29/2020 11:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742054718488535040,Best of luck
12/20/2020 19:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6746447425357037568,Congrats
12/17/2020 3:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736672113509322753,Congrats Divyesh
11/18/2020 12:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6714584086633029632,Congrats Vraj
11/16/2020 8:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6729449842650697728,Congrats Pulkit
11/12/2020 15:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732628973412462592,Commenting for better reach
11/12/2020 10:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732554289237045248,Commenting for better reach
11/12/2020 8:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727878945112367104,Commenting for better reach
11/12/2020 2:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6711086177107099648,Congrats Aishwary
11/6/2020 15:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6730361946593402880,Well done
11/2/2020 11:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713064477274759168,Congrats Sachin
11/2/2020 9:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6728897207614914560,Congrats MANAN
10/24/2020 13:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6725399393782005760,Interested
10/21/2020 2:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6724302558636077056,Good luck with your new role!
7/20/2020 6:21,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6688026869851336704,Hi
,,
I'm interested,,
