Date,Type,Link
4/24/2023 5:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7052310859951312896
4/24/2023 4:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051563260948455424
4/22/2023 13:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7055533530839228418
4/22/2023 6:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055426331706032128
4/22/2023 5:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055414217281011712
4/22/2023 4:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055211477183471617
4/22/2023 4:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055237453476995072
4/22/2023 4:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055213370668425216
4/22/2023 4:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055380139420856320
4/21/2023 16:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055200477050748928
4/21/2023 6:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A2450114
4/20/2023 7:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7054708471648165889
4/19/2023 15:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7054467909808455682
4/19/2023 8:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7051227901777592321
4/19/2023 7:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7053985532804030464
4/19/2023 7:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7054341087737298944
4/19/2023 5:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7054061004539760640
4/17/2023 9:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7053495807773163520
4/17/2023 5:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7050325778881818624
4/17/2023 4:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7053297491915456512
4/14/2023 15:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7052668012369166337
4/14/2023 10:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7052588543096889345
4/13/2023 10:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7052217685908029440
4/13/2023 7:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051984933497544704
4/12/2023 17:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7051908872025845761
4/12/2023 12:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051818948450783232
4/12/2023 11:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7050840894039572480
4/12/2023 11:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051849246060265473
4/2/2023 15:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7048264442786004992
