Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2022-05-27 05:09:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935819123440373760,Just finished the course “Microsoft Forms Essential Training” by Curt Frye! Check it out: https://lnkd.in/dExFyfEa #microsoftforms.,,,MEMBER_NETWORK
2022-05-27 03:31:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935794486702678016,Just finished the course “PowerPoint Essential Training (Office 365/Microsoft 365)” by Jess Stratton! Check it out: https://lnkd.in/d82z23FT #microsoftpowerpoint.,,,MEMBER_NETWORK
2022-05-26 10:30:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935537633146085376,Just finished the course “Word Essential Training (Office 365/Microsoft 365)” by David Rivers! Check it out: https://lnkd.in/dkfR_hgV #microsoftword.,,,MEMBER_NETWORK
2022-05-25 14:04:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935229067046567936,Just finished the course “Getting Work Done in Office 365 (Microsoft 365)” by Steve Somers and Steve Nguyen! Check it out: https://lnkd.in/dkd7AyjU #office365.,,,MEMBER_NETWORK
2022-05-25 05:35:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935100915175563264,Just finished the course “Power BI: Dashboards for Beginners” by Joshua Rischin! Check it out: https://lnkd.in/dyHQRasD #microsoftpowerbi #dashboard.,,,MEMBER_NETWORK
2022-05-23 11:47:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6934469798357540864,Just finished the course “Agile Project Management with Microsoft Project” by Bonnie Biafore! Check it out: https://lnkd.in/dK73r45K #microsoftproject #agileprojectmanagement.,,,MEMBER_NETWORK
2022-05-20 17:16:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933465504015618048,Just finished the course “Having Difficult Conversations”! Check it out: https://lnkd.in/d3XvUCkz ,,,MEMBER_NETWORK
2022-05-20 12:55:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933399836666777600,Just finished the course “Communicating through Disagreement” by Lynne Hurdle and Madecraft! Check it out: https://lnkd.in/dyyfmjqw #interpersonalcommunication.,,,MEMBER_NETWORK
2022-05-20 09:09:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933343037414604801,Just finished the course “Presenting to Senior Executives” by Tatiana Kolovou! Check it out: https://lnkd.in/di6dafXj #clevelpresentations.,,,MEMBER_NETWORK
2022-05-20 07:51:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933323329189617664,Just finished the course “Improving Your Leadership Communications” by Colleen Hauk and Madecraft! Check it out: https://lnkd.in/dC-3yjPT #leadershipcommunications.,,,MEMBER_NETWORK
2022-05-20 06:11:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933298207900721152,Just finished the course “Communicating in the Language of Leadership” by Pete Mockaitis | How to Be Awesome at Your Job! Check it out: https://lnkd.in/dNUB2qqx #leadershipcommunications.,,,MEMBER_NETWORK
2022-05-20 05:52:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933293463656357888,Just finished the course “Improving Your Listening Skills”! Check it out: https://lnkd.in/dwUdYvHi ,,,MEMBER_NETWORK
2022-05-19 05:24:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6932924009449693184,Just finished the course “Pitching Your Ideas Strategically” by Todd Dewett! Check it out: https://lnkd.in/dKGzFUew #persuasivepresentations.,,,MEMBER_NETWORK
2022-05-17 08:09:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6932240674071154688,Just finished the course “Critical Thinking for More Effective Communication” by Becki Saltzman! Check it out: https://lnkd.in/dh-8sVmZ #criticalthinking.,,,MEMBER_NETWORK
2022-05-17 05:35:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6932201811495784448,"Teamwork is the ability to work together toward a common vision. The ability to direct individual accomplishments toward organizational objectives. It is the fuel that allows common people to attain uncommon results. ~ Andrew Carnegie""
""""
""We Global Solution Operations (GSO) Team won the HOFA 2022 Team of The Year Award""
""""
""Congratulations GSO team...Finally the efforts and the hard work of the team has paid off. So proud and Thankful to each member of my team.""
""Thank you NielsenIQ for recognizing the efforts.""
""""
""#HOFA2022 #Winners #ProudMoment #MINOC #award #bestteam #teamwork #hardwork",,,MEMBER_NETWORK
2022-05-16 11:40:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6931931339684216832,Just finished the course “Excel Essential Training (Office 365/Microsoft 365)” by Dennis Taylor!,,,MEMBER_NETWORK
2022-05-12 11:02:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6930472292095262720,I just earned a skill badge for Agile Methodologies! Who's next? See how you do on a #LinkedInSkillAssessment.,,,MEMBER_NETWORK
2022-03-31 06:13:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6915179285905358848,"“Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.” – Mary Kay Ash""
""""
""Grateful to have received the NielsenIQ Bravo Recognition from my manager as well as my peers! Thank you for recognizing and rewarding my contributions at work!""
""""
""This really do motivates me to give my 100% every time. Thank you so much NielsenIQ for providing such wonderful environment.""
""""
""#nielseniq #appreciationpost #grateful #thankful #nielsen #workculture #worklife #people #environment",,,MEMBER_NETWORK
2021-11-02 14:48:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6861312956102164480,"""Sometimes the simplest things means the most""""
""All I can say is wow and ofcourse I am grateful. Thanks alot NielsenIQ for this amazing Diwali Hamper and adding a special touch to our Diwali Celebration""
""""
""Happy Diwali to my entire NielsenIQ and LinkedIn family.""
""""
""#MINOCdiwali #MINOCkaApnaDiwali #NIQ #NielsenIQ",,,MEMBER_NETWORK
2021-02-16 12:26:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6767418824120709120,"Hey #linkedinfamily ""
""""
""Internship update""
""""
""Follow Orena Solutions for more internship/job related updates.",,,MEMBER_NETWORK
2021-02-12 04:44:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6765853085064577024,"Looking for Software Development internship.""
""""
""DM me ",,,MEMBER_NETWORK
2020-11-17 07:20:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6734364592643854337,,,,MEMBER_NETWORK
2020-11-12 10:05:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6732594118750461952,,,,MEMBER_NETWORK
2020-11-06 05:16:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6730346975289511936,Just completed The Fundamental of Digital Marketing course by Google.,,,MEMBER_NETWORK
